"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Mouriri myrtilloides",2015,"1980 - 1985","0.196 (0.185-0.206)",NA,NA,"0.0571 (0.0545-0.06)",NA,NA,"141 (135-147)",NA
"Myrcia splendens tip. gatunensis",1985,"1985 - 1990","0.0204 (0.0028-0.0449)","0.000869 (0.000299-0.00156)","9.23e-05 (1.32e-05-0.000198)","0.00252 (0.000618-0.0051)","0.00013 (6.44e-05-0.00022)","2.41e-05 (5.37e-06-4.74e-05)","1 (0.84-1.2)","0.06 (0.06-0.06)"
"Myrcia splendens tip. gatunensis",1990,"1990 - 1995","0.0246 (0.00547-0.0516)","0.000545 (0.000238-0.000956)","0.000104 (3.85e-05-0.000196)","0.00311 (0.00104-0.00591)","7.8e-05 (3.92e-05-0.000119)","3.34e-05 (1.35e-05-5.67e-05)","1.12 (0.96-1.3)","0.1 (0.1-0.1)"
"Myrcia splendens tip. gatunensis",1995,"1995 - 2000","0.0268 (0.00588-0.0541)","0.000386 (0.000196-0.000634)","0.000181 (6.46e-05-0.000333)","0.00333 (0.00115-0.00655)","6.35e-05 (3.99e-05-9.07e-05)","4.63e-05 (1.89e-05-8.01e-05)","0.98 (0.86-1.1)","0.1 (0.1-0.1)"
"Myrcia splendens tip. gatunensis",2000,"2000 - 2005","0.0278 (0.00557-0.057)","0.000318 (0.000163-0.000513)","0.00471 (0.000511-0.0105)","0.00342 (0.00109-0.00659)","6.63e-05 (4.05e-05-9.47e-05)","0.000527 (7.23e-05-0.0011)","0.96 (0.84-1.12)","0.1 (0.1-0.1)"
"Myrcia splendens tip. gatunensis",2005,"2005 - 2010","0.00561 (0.00186-0.012)","0.000478 (0.000276-0.000736)","8.93e-05 (2.4e-05-0.000174)","0.00108 (0.00053-0.00189)","9.74e-05 (6.44e-05-0.000138)","2.74e-05 (8.1e-06-5.2e-05)","0.92 (0.82-1.04)","0.02 (0.02-0.02)"
"Myrcia splendens tip. gatunensis",2010,"2010 - 2015","0.00756 (0.00329-0.0148)","0.000972 (0.000561-0.00146)","0.000643 (3.52e-05-0.00177)","0.00144 (0.000779-0.0023)","0.000169 (0.000105-0.00024)","9.65e-05 (1.16e-05-0.000242)","1.1 (1-1.22)","0.04 (0.04-0.04)"
"Myrcia splendens tip. gatunensis",2015,"1980 - 1985","0.00915 (0.00506-0.0139)",NA,NA,"0.00179 (0.00116-0.00253)",NA,NA,"1.3 (1.16-1.44)","0.06 (0.06-0.06)"
"Myrospermum frutescens",1985,"1985 - 1990","0.185 (0.026-0.42)","0.00269 (0.000459-0.00543)","0.000199 (0-0.000527)","0.0143 (0.00372-0.0303)","0.000193 (3.25e-05-0.000371)","3.33e-05 (0-8.71e-05)","0.44 (0.38-0.52)","0.18 (0.16-0.22)"
"Myrospermum frutescens",1990,"1990 - 1995","0.179 (0.0277-0.394)","-0.000782 (-0.00588-0.00324)","0.00203 (0.000337-0.00438)","0.0141 (0.00411-0.0267)","-2.71e-05 (-0.000337-0.000225)","0.000242 (1.9e-05-0.000496)","0.42 (0.36-0.5)","0.2 (0.18-0.24)"
"Myrospermum frutescens",1995,"1995 - 2000","0.167 (0.015-0.361)","0.00202 (-9.57e-05-0.005)","0.000466 (6.82e-06-0.00126)","0.0129 (0.00233-0.0269)","0.000137 (-2.51e-06-0.000329)","6.76e-05 (1.96e-06-0.000175)","0.34 (0.28-0.4)","0.14 (0.12-0.18)"
"Myrospermum frutescens",2000,"2000 - 2005","0.175 (0.0192-0.361)","0.00293 (0.000187-0.0072)","0.0016 (7.49e-06-0.00381)","0.0132 (0.00206-0.0259)","0.000192 (1.05e-05-0.000476)","0.000182 (2.47e-06-0.00046)","0.28 (0.24-0.34)","0.12 (0.1-0.16)"
"Myrospermum frutescens",2005,"2005 - 2010","0.182 (0.00215-0.383)","0.00258 (2.96e-05-0.00671)","0 (0-0)","0.0133 (0.000322-0.0272)","0.00017 (1.16e-05-0.000425)","0 (0-0)","0.18 (0.16-0.22)","0.08 (0.06-0.12)"
"Myrospermum frutescens",2010,"2010 - 2015","0.195 (0.00137-0.412)","0.00175 (2.2e-06-0.00453)","0.016 (4.72e-06-0.0479)","0.0141 (0.000306-0.0299)","0.000112 (1.53e-06-0.00027)","0.00108 (2.6e-06-0.00322)","0.32 (0.28-0.38)","0.08 (0.06-0.12)"
"Myrospermum frutescens",2015,"1980 - 1985","0.122 (0.000848-0.312)",NA,NA,"0.00922 (0.000192-0.0225)",NA,NA,"0.22 (0.2-0.26)","0.06 (0.04-0.08)"
"Nectandra cissiflora",1985,"1985 - 1990","0.124 (0.0676-0.189)","0.0193 (0.00998-0.0309)","0.0163 (0.00726-0.0265)","0.02 (0.0131-0.0282)","0.003 (0.00191-0.00444)","0.00244 (0.00131-0.00371)","6.98 (6.24-7.82)","0.42 (0.38-0.48)"
"Nectandra cissiflora",1990,"1990 - 1995","0.139 (0.0816-0.208)","0.0248 (0.0126-0.0401)","0.0202 (0.00845-0.0346)","0.0229 (0.016-0.0318)","0.0035 (0.00209-0.0052)","0.00298 (0.00152-0.00484)","6.28 (5.66-6.92)","0.52 (0.52-0.52)"
"Nectandra cissiflora",1995,"1995 - 2000","0.163 (0.0958-0.234)","0.0135 (0.00778-0.0203)","0.0211 (0.00904-0.0362)","0.0256 (0.0174-0.0347)","0.002 (0.0013-0.00289)","0.00301 (0.00154-0.00485)","5.08 (4.58-5.6)","0.6 (0.6-0.6)"
"Nectandra cissiflora",2000,"2000 - 2005","0.124 (0.0825-0.171)","0.0216 (0.0122-0.033)","0.0162 (0.0093-0.0239)","0.0206 (0.015-0.0267)","0.00306 (0.00188-0.00452)","0.0026 (0.00165-0.0037)","3.94 (3.54-4.34)","0.62 (0.6-0.66)"
"Nectandra cissiflora",2005,"2005 - 2010","0.151 (0.0956-0.218)","0.0313 (0.0171-0.0478)","0.0252 (0.0139-0.0379)","0.0229 (0.0156-0.0307)","0.00428 (0.0025-0.0063)","0.00359 (0.00213-0.00509)","3.58 (3.22-3.94)","0.62 (0.58-0.68)"
"Nectandra cissiflora",2010,"2010 - 2015","0.182 (0.104-0.268)","0.0104 (0.00602-0.0152)","0.00582 (0.00265-0.0101)","0.0263 (0.017-0.0372)","0.00143 (0.000938-0.00202)","0.00111 (0.000657-0.00171)","3.74 (3.38-4.14)","0.58 (0.56-0.62)"
"Nectandra cissiflora",2015,"1980 - 1985","0.204 (0.115-0.32)",NA,NA,"0.0278 (0.0168-0.0389)",NA,NA,"3.8 (3.46-4.2)","0.48 (0.46-0.52)"
"Nectandra fuzzy",1985,"1985 - 1990","0.000287 (7.73e-05-0.000628)","7.66e-05 (1.4e-05-0.000165)","3.69e-06 (0-9.02e-06)","0.000103 (4.08e-05-0.000194)","1.92e-05 (3.99e-06-3.77e-05)","2.15e-06 (0-4.82e-06)","0.18 (0.18-0.18)",NA
"Nectandra fuzzy",1990,"1990 - 1995","0.000652 (0.000185-0.00112)","9.28e-05 (1.24e-06-0.000236)","3.88e-05 (4.37e-06-8.33e-05)","0.000191 (6.54e-05-0.000329)","1.77e-05 (1.01e-06-4.35e-05)","1.4e-05 (3.19e-06-2.78e-05)","0.12 (0.12-0.12)",NA
"Nectandra fuzzy",1995,"1995 - 2000","0.000931 (5.82e-06-0.00194)","5.78e-05 (3.32e-07-0.000125)","0 (0-0)","0.000213 (4.71e-06-0.000416)","1.01e-05 (1.98e-07-2.06e-05)","0 (0-0)","0.04 (0.04-0.04)",NA
"Nectandra fuzzy",2000,"2000 - 2005","0.00122 (7.48e-06-0.00256)","5.9e-05 (5.13e-05-6.67e-05)","4.96e-07 (0-1.49e-06)","0.000263 (5.7e-06-0.00052)","1.02e-05 (8.14e-06-1.22e-05)","3.78e-07 (0-1.13e-06)","0.06 (0.06-0.06)","0.02 (0.02-0.02)"
"Nectandra fuzzy",2005,"2005 - 2010","0.00151 (0.00106-0.00196)","7.72e-05 (7.72e-05-7.72e-05)","0.000199 (0-0.000398)","0.000312 (0.000238-0.000387)","1.29e-05 (1.29e-05-1.29e-05)","3.92e-05 (0-7.85e-05)","0.04 (0.04-0.04)","0.02 (0.02-0.02)"
"Nectandra fuzzy",2010,"2010 - 2015","0.000917 (0.000917-0.000917)","9.2e-05 (9.2e-05-9.2e-05)","0 (0-0)","0.000183 (0.000183-0.000183)","1.4e-05 (1.4e-05-1.4e-05)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Nectandra fuzzy",2015,"1980 - 1985","0.00138 (0.00138-0.00138)",NA,NA,"0.000253 (0.000253-0.000253)",NA,NA,"0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Nectandra lineata",1985,"1985 - 1990","0.0548 (0.0144-0.112)","0.00422 (0.0014-0.00781)","0.000539 (0.00017-0.00103)","0.00788 (0.00301-0.0143)","0.000638 (0.000272-0.00106)","0.000146 (6.48e-05-0.000245)","2.22 (2.06-2.42)","0.18 (0.18-0.18)"
"Nectandra lineata",1990,"1990 - 1995","0.0755 (0.0274-0.137)","0.00852 (0.00307-0.0154)","0.00377 (0.000904-0.00836)","0.0106 (0.00489-0.0189)","0.00113 (0.000449-0.00209)","0.000657 (0.000222-0.0013)","2.28 (2.16-2.42)","0.26 (0.26-0.26)"
"Nectandra lineata",1995,"1995 - 2000","0.0971 (0.0347-0.18)","0.0196 (0.0059-0.0368)","0.0116 (0.000858-0.0253)","0.0128 (0.0053-0.0223)","0.00232 (0.000766-0.00442)","0.00147 (0.000221-0.00312)","2.06 (1.92-2.22)","0.22 (0.2-0.26)"
"Nectandra lineata",2000,"2000 - 2005","0.137 (0.0466-0.249)","0.0172 (0.00332-0.0369)","0.0207 (0.00501-0.0422)","0.017 (0.00738-0.0295)","0.00214 (0.000648-0.0042)","0.00251 (0.000843-0.00486)","2.1 (1.96-2.26)","0.22 (0.22-0.22)"
"Nectandra lineata",2005,"2005 - 2010","0.119 (0.0363-0.218)","0.0187 (0.00578-0.0351)","0.0221 (0.00576-0.0436)","0.0151 (0.00561-0.0265)","0.00255 (0.001-0.00476)","0.00265 (0.000826-0.00504)","2.4 (2.2-2.62)","0.22 (0.2-0.26)"
"Nectandra lineata",2010,"2010 - 2015","0.102 (0.0399-0.18)","0.0106 (0.00422-0.0188)","0.00162 (0.000308-0.0039)","0.0146 (0.00649-0.0246)","0.00142 (0.00068-0.00234)","0.000358 (0.000144-0.000655)","4.38 (3.72-5.32)","0.26 (0.24-0.3)"
"Nectandra lineata",2015,"1980 - 1985","0.147 (0.0572-0.268)",NA,NA,"0.0199 (0.00936-0.0322)",NA,NA,"4.54 (4.12-5.02)","0.38 (0.32-0.44)"
"Nectandra sp.4_(tiny_leaf)",1985,"1980 - 1985","5.63e-06 (5.63e-06-5.63e-06)",NA,"1.08e-06 (1.08e-06-1.08e-06)","3.53e-06 (3.53e-06-3.53e-06)",NA,"6.8e-07 (6.8e-07-6.8e-07)","0.02 (0.02-0.02)",NA
"Neea amplifolia",1985,"1985 - 1990","0.000373 (0.000216-0.000586)","2.76e-05 (1.1e-05-4.31e-05)","1.78e-05 (9.6e-06-2.71e-05)","0.000199 (0.000141-0.000277)","1.54e-05 (8.33e-06-2.23e-05)","1.1e-05 (6.77e-06-1.58e-05)","1.42 (1.3-1.56)",NA
"Neea amplifolia",1990,"1990 - 1995","0.000525 (0.000342-0.000752)","2.18e-05 (1e-05-3.68e-05)","3.29e-05 (1.73e-05-5.46e-05)","0.000264 (0.000196-0.000352)","1.25e-05 (6.57e-06-2.01e-05)","1.74e-05 (1.04e-05-2.64e-05)","1.34 (1.24-1.44)",NA
"Neea amplifolia",1995,"1995 - 2000","0.000472 (0.000321-0.000666)","2.79e-05 (2.08e-05-3.53e-05)","2.32e-05 (1.15e-05-3.76e-05)","0.000241 (0.000185-0.000312)","1.56e-05 (1.17e-05-1.96e-05)","1.31e-05 (7.77e-06-1.97e-05)","1.18 (1.1-1.26)",NA
"Neea amplifolia",2000,"2000 - 2005","0.000496 (0.000346-0.000704)","3.1e-05 (1.84e-05-4.81e-05)","2.97e-05 (1.24e-05-5.05e-05)","0.000253 (0.000194-0.000321)","1.72e-05 (1.09e-05-2.53e-05)","1.51e-05 (7.72e-06-2.43e-05)","1.26 (1.18-1.34)",NA
"Neea amplifolia",2005,"2005 - 2010","0.000501 (0.000362-0.000678)","3.22e-05 (2.26e-05-4.3e-05)","4.56e-05 (1.94e-05-8.14e-05)","0.000264 (0.00021-0.000334)","1.7e-05 (1.18e-05-2.28e-05)","2.21e-05 (1.19e-05-3.59e-05)","1.34 (1.26-1.44)",NA
"Neea amplifolia",2010,"2010 - 2015","0.000436 (0.000349-0.000535)","2.84e-05 (1.81e-05-4.04e-05)","3.17e-05 (2e-05-4.54e-05)","0.000239 (0.000194-0.000286)","1.42e-05 (9.72e-06-2e-05)","1.74e-05 (1.11e-05-2.42e-05)","1.24 (1.16-1.34)",NA
"Neea amplifolia",2015,"1980 - 1985","0.000417 (0.000334-0.000514)",NA,NA,"0.000222 (0.000182-0.000263)",NA,NA,"1.08 (1.02-1.16)",NA
"Ochroma pyramidale",1985,"1985 - 1990","0.0111 (0.0014-0.0233)","0.00238 (0.00102-0.00351)","1.51e-05 (0-4.23e-05)","0.00484 (0.00128-0.00958)","0.000896 (0.000353-0.00136)","1.52e-05 (0-4.04e-05)","0.16 (0.12-0.2)","0.08 (0.08-0.08)"
"Ochroma pyramidale",1990,"1990 - 1995","0.0229 (0.00851-0.0368)","0.00278 (0.00111-0.00468)","4.87e-07 (0-1.46e-06)","0.00924 (0.00354-0.0147)","0.000907 (0.00038-0.00148)","9.91e-07 (0-2.97e-06)","0.12 (0.1-0.16)","0.1 (0.08-0.14)"
"Ochroma pyramidale",1995,"1995 - 2000","0.0368 (0.0117-0.0645)","0.000616 (0.000469-0.000763)","0.00235 (2.22e-05-0.00519)","0.0138 (0.00463-0.0232)","0.000297 (0.000185-0.000472)","0.000997 (1.86e-05-0.00216)","0.12 (0.1-0.16)","0.1 (0.08-0.14)"
"Ochroma pyramidale",2000,"2000 - 2005","0.0312 (0.00106-0.062)","0.00401 (0.000778-0.00844)","1.36e-06 (0-4.08e-06)","0.0112 (0.00102-0.0224)","0.00154 (0.000307-0.00336)","2.46e-06 (0-7.37e-06)","0.18 (0.08-0.38)","0.08 (0.08-0.08)"
"Ochroma pyramidale",2005,"2005 - 2010","0.0519 (0.0106-0.0981)","0.00747 (0.00329-0.0125)","0.0035 (0-0.0104)","0.019 (0.00568-0.0353)","0.0026 (0.00132-0.00406)","0.0012 (0-0.00354)","0.2 (0.14-0.32)","0.16 (0.1-0.28)"
"Ochroma pyramidale",2010,"2010 - 2015","0.0717 (0.0167-0.138)","0.00318 (0.000473-0.00592)","0.0103 (0.00029-0.021)","0.026 (0.00866-0.0465)","0.00106 (0.000232-0.00192)","0.00358 (0.000161-0.00732)","0.22 (0.14-0.34)","0.22 (0.14-0.34)"
"Ochroma pyramidale",2015,"1980 - 1985","0.0423 (0.0106-0.0764)",NA,NA,"0.0153 (0.00424-0.0264)",NA,NA,"0.14 (0.12-0.18)","0.1 (0.08-0.14)"
"Ocotea cernua",1985,"1985 - 1990","0.0826 (0.0527-0.123)","0.00809 (0.00453-0.0123)","0.00817 (0.00442-0.0127)","0.0187 (0.013-0.0251)","0.00186 (0.00119-0.00262)","0.00179 (0.00103-0.00257)","7.04 (6.66-7.44)","0.6 (0.58-0.64)"
"Ocotea cernua",1990,"1990 - 1995","0.0794 (0.0513-0.115)","0.0105 (0.00589-0.016)","0.00827 (0.00453-0.0131)","0.0186 (0.0135-0.0245)","0.00216 (0.00137-0.00313)","0.00195 (0.00123-0.00277)","6.9 (6.54-7.3)","0.56 (0.5-0.64)"
"Ocotea cernua",1995,"1995 - 2000","0.0905 (0.0583-0.132)","0.0101 (0.00389-0.0184)","0.0115 (0.00482-0.0202)","0.0198 (0.0139-0.0269)","0.00192 (0.000999-0.00319)","0.00232 (0.00126-0.0036)","5.94 (5.62-6.28)","0.6 (0.54-0.68)"
"Ocotea cernua",2000,"2000 - 2005","0.0835 (0.0478-0.124)","0.0132 (0.00571-0.0226)","0.00956 (0.00351-0.0174)","0.0177 (0.0116-0.0248)","0.00242 (0.00124-0.00383)","0.00185 (0.000844-0.00312)","4.46 (4.22-4.7)","0.52 (0.46-0.58)"
"Ocotea cernua",2005,"2005 - 2010","0.101 (0.06-0.153)","0.0106 (0.00547-0.0172)","0.0122 (0.00446-0.0221)","0.0206 (0.0141-0.0291)","0.00216 (0.00128-0.00324)","0.00225 (0.00103-0.00382)","4.94 (4.7-5.22)","0.52 (0.52-0.52)"
"Ocotea cernua",2010,"2010 - 2015","0.0928 (0.0588-0.134)","0.00557 (0.00392-0.00752)","0.00139 (0.000377-0.0033)","0.0201 (0.0142-0.0263)","0.00123 (0.000969-0.00156)","0.00038 (0.000162-0.000714)","5.88 (5.5-6.26)","0.54 (0.54-0.54)"
"Ocotea cernua",2015,"1980 - 1985","0.114 (0.0766-0.164)",NA,NA,"0.0243 (0.0175-0.0312)",NA,NA,"7.08 (6.68-7.52)","0.7 (0.7-0.7)"
"Ocotea oblonga",1985,"1985 - 1990","0.256 (0.152-0.381)","0.0086 (0.00511-0.0127)","0.0249 (0.00968-0.0428)","0.0454 (0.0281-0.0638)","0.00173 (0.00111-0.00248)","0.00424 (0.00196-0.00738)","3.74 (3.5-4.02)","0.6 (0.6-0.6)"
"Ocotea oblonga",1990,"1990 - 1995","0.167 (0.0919-0.258)","0.0107 (0.00694-0.0149)","0.0092 (0.00188-0.0191)","0.0318 (0.0197-0.046)","0.00221 (0.00157-0.00293)","0.00177 (0.000495-0.00337)","3.8 (3.56-4.08)","0.52 (0.52-0.52)"
"Ocotea oblonga",1995,"1995 - 2000","0.177 (0.101-0.261)","0.0235 (0.0143-0.0351)","0.00891 (0.00117-0.0207)","0.0344 (0.0214-0.0477)","0.004 (0.0026-0.00569)","0.00166 (0.000379-0.00365)","3.34 (3.14-3.58)","0.7 (0.7-0.7)"
"Ocotea oblonga",2000,"2000 - 2005","0.25 (0.15-0.367)","0.0206 (0.0134-0.0291)","0.00865 (0.000484-0.0203)","0.0461 (0.03-0.0657)","0.0034 (0.00237-0.0046)","0.00152 (0.000216-0.00335)","2.86 (2.7-3.06)","0.76 (0.74-0.8)"
"Ocotea oblonga",2005,"2005 - 2010","0.317 (0.19-0.45)","0.0329 (0.0132-0.0655)","0.0196 (0.00416-0.0424)","0.0565 (0.0373-0.0788)","0.00533 (0.00241-0.00943)","0.00318 (0.000767-0.00667)","3.24 (3-3.52)","0.86 (0.82-0.92)"
"Ocotea oblonga",2010,"2010 - 2015","0.404 (0.248-0.582)","0.0247 (0.0174-0.0331)","0.0238 (0.00472-0.0533)","0.0703 (0.047-0.099)","0.00425 (0.00311-0.00552)","0.00379 (0.000979-0.00845)","4.74 (4.34-5.14)","0.96 (0.92-1.02)"
"Ocotea oblonga",2015,"1980 - 1985","0.406 (0.274-0.543)",NA,NA,"0.0722 (0.0506-0.0951)",NA,NA,"5.84 (5.48-6.2)","0.98 (0.96-1.02)"
"Ocotea puberula",1985,"1985 - 1990","0.0709 (0.0223-0.147)","0.0101 (0.00491-0.0166)","0.000501 (0.000227-0.000913)","0.0135 (0.00641-0.0246)","0.00174 (0.00101-0.00267)","2e-04 (0.000121-0.000302)","4.88 (4.5-5.26)","0.24 (0.24-0.24)"
"Ocotea puberula",1990,"1990 - 1995","0.118 (0.0474-0.201)","0.0102 (0.00329-0.0197)","0.00965 (0.000737-0.0249)","0.0214 (0.0106-0.0335)","0.00165 (0.000628-0.00306)","0.00159 (0.000345-0.00371)","4.36 (4.12-4.64)","0.36 (0.36-0.36)"
"Ocotea puberula",1995,"1995 - 2000","0.13 (0.0586-0.223)","0.0124 (0.00515-0.0222)","0.00124 (0.000507-0.00221)","0.0228 (0.0124-0.0354)","0.00178 (0.000922-0.00288)","0.000403 (0.000228-0.000634)","3.2 (3.04-3.38)","0.46 (0.46-0.46)"
"Ocotea puberula",2000,"2000 - 2005","0.187 (0.0902-0.319)","0.0152 (0.0062-0.0263)","0.00483 (0.000764-0.0124)","0.0299 (0.0157-0.0468)","0.00209 (0.000991-0.00337)","0.000897 (0.000227-0.00203)","2.52 (2.4-2.66)","0.48 (0.48-0.48)"
"Ocotea puberula",2005,"2005 - 2010","0.245 (0.103-0.425)","0.0261 (0.00984-0.0445)","0.00132 (0.000265-0.00299)","0.0365 (0.0171-0.057)","0.00323 (0.00143-0.00553)","0.000331 (0.000102-0.000662)","2.5 (2.38-2.64)","0.42 (0.42-0.42)"
"Ocotea puberula",2010,"2010 - 2015","0.368 (0.146-0.648)","0.0157 (0.0068-0.0261)","0.0129 (0.00121-0.0338)","0.0508 (0.0244-0.0803)","0.00211 (0.00108-0.00341)","0.00188 (0.000348-0.00429)","3.16 (3.02-3.34)","0.38 (0.38-0.38)"
"Ocotea puberula",2015,"1980 - 1985","0.381 (0.133-0.663)",NA,NA,"0.0518 (0.0238-0.0898)",NA,NA,"3.36 (3.16-3.6)","0.4 (0.38-0.44)"
"Ocotea whitei",1985,"1985 - 1990","3.82 (2.62-5.2)","0.374 (0.218-0.543)","0.293 (0.151-0.465)","0.42 (0.307-0.542)","0.0384 (0.0241-0.0535)","0.0299 (0.0165-0.047)","18.7 (15.8-21.6)","3.36 (3.06-3.64)"
"Ocotea whitei",1990,"1990 - 1995","4.35 (3.17-5.75)","0.431 (0.268-0.628)","0.464 (0.246-0.721)","0.474 (0.349-0.619)","0.0451 (0.0285-0.0632)","0.0477 (0.0274-0.0727)","15.7 (13.7-17.7)","3.66 (3.36-4)"
"Ocotea whitei",1995,"1995 - 2000","4.3 (3.11-5.64)","0.383 (0.236-0.577)","0.508 (0.303-0.757)","0.471 (0.367-0.605)","0.0398 (0.0258-0.0566)","0.0525 (0.0318-0.075)","12 (10.6-13.7)","3.8 (3.48-4.14)"
"Ocotea whitei",2000,"2000 - 2005","3.65 (2.69-4.7)","0.268 (0.169-0.388)","0.339 (0.189-0.524)","0.405 (0.309-0.52)","0.0295 (0.0199-0.0413)","0.0356 (0.0204-0.054)","9.3 (8.34-10.4)","3.78 (3.52-4.06)"
"Ocotea whitei",2005,"2005 - 2010","3.28 (2.52-4.1)","0.298 (0.19-0.424)","0.304 (0.175-0.434)","0.373 (0.287-0.467)","0.0323 (0.0217-0.0438)","0.0328 (0.0205-0.0465)","8.22 (7.34-9.32)","3.78 (3.48-4.1)"
"Ocotea whitei",2010,"2010 - 2015","3.31 (2.5-4.18)","0.162 (0.119-0.218)","0.042 (0.00838-0.0941)","0.377 (0.297-0.455)","0.0173 (0.0127-0.022)","0.00496 (0.00161-0.0102)","8.72 (7.5-10.1)","3.52 (3.24-3.84)"
"Ocotea whitei",2015,"1980 - 1985","3.92 (3.04-4.91)",NA,NA,"0.439 (0.341-0.545)",NA,NA,"9.26 (7.92-10.8)","3.62 (3.3-3.98)"
"Oenocarpus mapora",1985,"1985 - 1990","2.28 (2.14-2.43)","0.431 (0.404-0.459)","0.403 (0.377-0.431)","0.857 (0.805-0.912)","0.162 (0.151-0.172)","0.152 (0.142-0.163)","34 (32.5-35.5)",NA
"Oenocarpus mapora",1990,"1990 - 1995","2.42 (2.28-2.58)","0.495 (0.465-0.526)","0.467 (0.437-0.501)","0.911 (0.862-0.968)","0.186 (0.174-0.198)","0.176 (0.165-0.187)","35.3 (33.7-36.9)",NA
"Oenocarpus mapora",1995,"1995 - 2000","2.56 (2.42-2.72)","0.454 (0.427-0.483)","0.472 (0.443-0.503)","0.961 (0.902-1.02)","0.171 (0.161-0.181)","0.178 (0.166-0.189)","36.7 (35-38.3)",NA
"Oenocarpus mapora",2000,"2000 - 2005","2.47 (2.32-2.61)","0.436 (0.409-0.467)","0.453 (0.424-0.483)","0.928 (0.874-0.984)","0.164 (0.153-0.175)","0.17 (0.159-0.181)","35.4 (33.9-37)",NA
"Oenocarpus mapora",2005,"2005 - 2010","2.39 (2.24-2.53)","0.451 (0.421-0.483)","0.44 (0.41-0.468)","0.897 (0.845-0.953)","0.169 (0.159-0.18)","0.165 (0.155-0.176)","34.7 (33-36.3)",NA
"Oenocarpus mapora",2010,"2010 - 2015","2.44 (2.31-2.58)","0.0916 (0.0843-0.0986)","0.0885 (0.0798-0.0968)","0.917 (0.865-0.97)","0.0344 (0.0316-0.037)","0.0333 (0.0299-0.0367)","35 (33.4-36.6)",NA
"Oenocarpus mapora",2015,"2000 - 2005","2.46 (2.31-2.59)",NA,NA,"0.923 (0.871-0.977)",NA,NA,"35.8 (34.2-37.4)",NA
"Oreopanax capitatus",2005,"2005 - 2010","0 (0-0)","8.64e-07 (8.64e-07-8.64e-07)","0 (0-0)","0 (0-0)","6.21e-07 (6.21e-07-6.21e-07)","0 (0-0)",NA,NA
"Oreopanax capitatus",2010,"1980 - 1985","4.28e-06 (4.28e-06-4.28e-06)",NA,"8.27e-07 (8.27e-07-8.27e-07)","3.08e-06 (3.08e-06-3.08e-06)",NA,"5.94e-07 (5.94e-07-5.94e-07)","0.02 (0.02-0.02)",NA
"Ormosia amazonica",1985,"1985 - 1990","0.00111 (4e-06-0.00221)","4.16e-05 (1.93e-06-8.13e-05)","0 (0-0)","0.000209 (3.14e-06-0.000415)","6.39e-06 (8.22e-07-1.2e-05)","0 (0-0)","0.04 (0.04-0.04)","0.02 (0.02-0.02)"
"Ormosia amazonica",1990,"1990 - 1995","0.00132 (1.16e-05-0.00262)","-6.41e-05 (-0.000128-0)","0 (0-0)","0.000241 (7.07e-06-0.000475)","-9.52e-06 (-1.9e-05-0)","0 (0-0)","0.04 (0.04-0.04)","0.02 (0.02-0.02)"
"Ormosia amazonica",1995,"1995 - 2000","0.000995 (1.16e-05-0.00198)","0 (0-0)","1.17e-06 (0-2.34e-06)","0.000194 (7.07e-06-0.00038)","0 (0-0)","7.12e-07 (0-1.42e-06)","0.04 (0.04-0.04)","0.02 (0.02-0.02)"
"Ormosia amazonica",2000,"2000 - 2005","0.000989 (0.000989-0.000989)","0 (0-0)","0 (0-0)","0.00019 (0.00019-0.00019)","0 (0-0)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Ormosia amazonica",2005,"2005 - 2010","0.000989 (0.000989-0.000989)","1.38e-05 (1.38e-05-1.38e-05)","0 (0-0)","0.00019 (0.00019-0.00019)","2.1e-06 (2.1e-06-2.1e-06)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Ormosia amazonica",2010,"2010 - 2015","0.00106 (0.00106-0.00106)","3.45e-05 (3.45e-05-3.45e-05)","0 (0-0)","0.000201 (0.000201-0.000201)","5.12e-06 (5.12e-06-5.12e-06)","0 (0-0)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Ormosia amazonica",2015,"1980 - 1985","0.00123 (0.00123-0.00123)",NA,NA,"0.000226 (0.000226-0.000226)",NA,NA,"0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Ormosia coccinea",1985,"1985 - 1990","0.157 (0.00576-0.432)","0.00241 (0.000306-0.00541)","4.58e-05 (3.99e-07-0.000108)","0.0143 (0.00145-0.037)","0.00027 (7.6e-05-0.000507)","1.47e-05 (2.96e-07-3.31e-05)","1.12 (1.06-1.2)","0.06 (0.06-0.06)"
"Ormosia coccinea",1990,"1990 - 1995","0.17 (0.00773-0.493)","0.00491 (0.00031-0.0132)","0.000249 (2.42e-05-0.000537)","0.0157 (0.00189-0.0397)","0.000418 (7.58e-05-0.00114)","6.26e-05 (1.27e-05-0.000126)","1.4 (1.3-1.5)","0.08 (0.08-0.08)"
