"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Pterocarpus hayesii",2000,"2000 - 2005","0.45 (0.276-0.672)","0.00964 (0.00515-0.0155)","0.0374 (0.0135-0.0738)","0.0707 (0.0538-0.0925)","0.00164 (0.00122-0.00222)","0.00491 (0.00248-0.00842)","28.8 (27.6-30.1)","1.32 (1.28-1.38)"
"Pterocarpus hayesii",2005,"2005 - 2010","0.309 (0.187-0.477)","0.0204 (0.00633-0.0458)","0.0275 (0.00781-0.0566)","0.054 (0.0406-0.0685)","0.00286 (0.00147-0.00527)","0.00373 (0.00166-0.00637)","26.9 (25.7-28.3)","1 (0.98-1.06)"
"Pterocarpus hayesii",2010,"2010 - 2015","0.27 (0.157-0.433)","0.00957 (0.00721-0.0129)","0.0143 (0.00272-0.0359)","0.0493 (0.0377-0.0662)","0.00186 (0.00156-0.00221)","0.00204 (0.000841-0.00424)","23.9 (22.9-25.1)","1.02 (0.98-1.08)"
"Pterocarpus hayesii",2015,"1980 - 1985","0.247 (0.166-0.377)",NA,NA,"0.0485 (0.0392-0.0618)",NA,NA,"21.2 (20.2-22)","1.3 (1.22-1.4)"
"Pterocarpus officinalis",1985,"1985 - 1990","0.00873 (0.000255-0.0248)","1.18e-05 (0-2.83e-05)","0.00163 (1.38e-05-0.00469)","0.00173 (0.000108-0.0046)","3.65e-06 (0-8.64e-06)","0.000316 (5.96e-06-0.000879)","0.16 (0.16-0.16)","0.02 (0.02-0.02)"
"Pterocarpus officinalis",1990,"1990 - 1995","0.000223 (3.47e-05-0.000593)","-2.73e-06 (-1.27e-05-2.61e-06)","0 (0-0)","9.29e-05 (2.49e-05-0.000224)","-4.84e-07 (-3.82e-06-1.25e-06)","0 (0-0)","0.06 (0.06-0.06)",NA
"Pterocarpus officinalis",1995,"1995 - 2000","0.00021 (4.78e-05-0.00037)","1.85e-06 (1.85e-06-1.85e-06)","3.9e-05 (0-0.000106)","9.05e-05 (3.27e-05-0.000205)","8.95e-07 (8.95e-07-8.95e-07)","1.61e-05 (0-4.12e-05)","0.06 (0.06-0.06)",NA
"Pterocarpus officinalis",2000,"2000 - 2005","2.51e-05 (2.51e-05-2.51e-05)","1.61e-05 (1.61e-05-1.61e-05)","0 (0-0)","1.51e-05 (1.51e-05-1.51e-05)","6.14e-06 (6.14e-06-6.14e-06)","0 (0-0)","0.02 (0.02-0.02)",NA
"Pterocarpus officinalis",2005,"2005 - 2010","0.000105 (0.000105-0.000105)","3.47e-05 (3.47e-05-3.47e-05)","0 (0-0)","4.58e-05 (4.58e-05-4.58e-05)","1.04e-05 (1.04e-05-1.04e-05)","0 (0-0)","0.02 (0.02-0.02)",NA
"Pterocarpus officinalis",2010,"2010 - 2015","0.000279 (0.000279-0.000279)","3.66e-06 (3.66e-06-3.66e-06)","0 (0-0)","9.8e-05 (9.8e-05-9.8e-05)","1.01e-06 (1.01e-06-1.01e-06)","0 (0-0)","0.02 (0.02-0.02)",NA
